temperature	xi	ar_xviii	wavelength	opacity
0.524608492851	0.8112449646	ar_xviii	3.7311	0.0	
0.524608492851	0.851405620575	ar_xviii	3.7311	0.0	
0.524608492851	0.89156627655	ar_xviii	3.7311	0.0	
0.524608492851	0.931726932526	ar_xviii	3.7311	0.0	
0.524608492851	0.971887528896	ar_xviii	3.7311	0.0	
0.524608492851	1.01204824448	ar_xviii	3.7311	0.0	
0.524608492851	1.05220878124	ar_xviii	3.7311	0.0	
0.524608492851	1.09236943722	ar_xviii	3.7311	0.0	
0.524608492851	1.13253009319	ar_xviii	3.7311	0.0	
0.524608492851	1.17269074917	ar_xviii	3.7311	0.0	
0.524608492851	1.21285140514	ar_xviii	3.7311	0.0	
0.524608492851	1.25301206112	ar_xviii	3.7311	0.0	
0.524608492851	1.29317271709	ar_xviii	3.7311	0.0	
0.524608492851	1.33333337307	ar_xviii	3.7311	0.0	
0.524608492851	1.37349402905	ar_xviii	3.7311	0.0	
0.524608492851	1.41365456581	ar_xviii	3.7311	0.0	
0.524608492851	1.45381522179	ar_xviii	3.7311	0.0	
0.524608492851	1.49397587776	ar_xviii	3.7311	0.0	
0.524608492851	1.53413653374	ar_xviii	3.7311	0.0	
0.524608492851	1.57429718971	ar_xviii	3.7311	0.0	
0.524608492851	1.61445784569	ar_xviii	3.7311	0.0	
0.524608492851	1.65461850166	ar_xviii	3.7311	0.0	
0.524608492851	1.69477915764	ar_xviii	3.7311	0.0	
0.524608492851	1.73493981361	ar_xviii	3.7311	0.0	
0.524608492851	1.77510035038	ar_xviii	3.7311	0.0	
0.524608492851	1.81526100636	ar_xviii	3.7311	0.0	
0.524608492851	1.85542166233	ar_xviii	3.7311	0.0	
0.524608492851	1.89558231831	ar_xviii	3.7311	0.0	
0.524608492851	1.93574297428	ar_xviii	3.7311	0.0	
0.524608492851	1.97590363026	ar_xviii	3.7311	0.0	
0.524608492851	2.01606416702	ar_xviii	3.7311	0.0	
0.524608492851	2.056224823	ar_xviii	3.7311	0.0	
0.524608492851	2.09638547897	ar_xviii	3.7311	0.0	
0.524608492851	2.13654613495	ar_xviii	3.7311	0.0	
0.524608492851	2.17670679092	ar_xviii	3.7311	0.0	
0.524608492851	2.2168674469	ar_xviii	3.7311	0.0	
0.524608492851	2.25702810287	ar_xviii	3.7311	0.0	
0.524608492851	2.29718875885	ar_xviii	3.7311	0.0	
0.524608492851	2.33734941483	ar_xviii	3.7311	0.0	
